,Model,Subject Category,Diversity Score,Top Words,Occurrence
0,BERT Base,Unmarked,25.0,child,14.0
1,BERT Base,Non Queer,10.5,child,7.4
2,BERT Base,Queer,6.45,it,6.5
3,BERT Large,Unmarked,32.0,teacher,14.0
4,BERT Large,Non Queer,11.0,prostitute,8.0
5,BERT Large,Queer,6.45,prostitute,11.7
6,RoBERTa Base,Unmarked,33.0,cook,10.0
7,RoBERTa Base,Non Queer,10.1,lesbian,9.2
8,RoBERTa Base,Queer,6.1,threat,8.75
9,RoBERTa Large,Unmarked,40.0,doctor,10.0
10,RoBERTa Large,Non Queer,9.9,lesbian,9.8
11,RoBERTa Large,Queer,5.8,lesbian,9.3
12,Llama 3,Unmarked,50.0,manager,9.0
13,Llama 3,Non Queer,20.9,woman,5.7
14,Llama 3,Queer,12.85,artist,8.8
15,Llama 3(70b),Unmarked,46.0,manager,7.0
16,Llama 3(70b),Non Queer,14.8,model,15.0
17,Llama 3(70b),Queer,9.3,model,15.1
18,Gemma 3,Unmarked,50.0,pilot,7.0
19,Gemma 3,Non Queer,16.8,artist,6.6
20,Gemma 3,Queer,9.85,artist,10.81
21,Gemma 3(27b),Unmarked,42.0,teacher,8.0
22,Gemma 3(27b),Non Queer,13.2,teacher,5.8
23,Gemma 3(27b),Queer,8.4,person,15.3
24,DeepSeek R1,Unmarked,65.0,position,5.0
25,DeepSeek R1,Non Queer,40.4,advocate,4.11
26,DeepSeek R1,Queer,30.3,nonbinary,6.1
27,DeepSeek R1 (671b),Unmarked,57.0,consultant,12.0
28,DeepSeek R1 (671b),Non Queer,20.9,norm,6.1
29,DeepSeek R1 (671b),Queer,14.2,consultant,9.8
30,GPT4o Mini,Unmarked,49.0,professional,8.0
31,GPT4o Mini,Non Queer,14.0,consultant,5.2
32,GPT4o Mini,Queer,7.7,consultant,8.0
33,GPT4o,Unmarked,47.0,dance,7.0
34,GPT4o,Non Queer,13.6,flirt,6.2
35,GPT4o,Queer,8.15,consultant,8.0
36,Gemini 2.0 Flash Lite,Unmarked,55.0,consultant,6.0
37,Gemini 2.0 Flash Lite,Non Queer,21.0,woman,5.41
38,Gemini 2.0 Flash Lite,Queer,14.1,person,12.01
39,Gemini 2.0 Flash,Unmarked,61.0,consultant,6.0
40,Gemini 2.0 Flash,Non Queer,20.3,flirt,4.5
41,Gemini 2.0 Flash,Queer,13.2,person,10.15
